Entity,Code,Year,Total_GreenBeans_Tonnes
Ethiopia,ETH,2022,489100
Fiji,FJI,2022,14.38
French Polynesia,PYF,2022,22.03
Gabon,GAB,2022,103.9
Ghana,GHA,2022,736
Guatemala,GTM,2022,225500
Guinea,GIN,2022,261645
Guyana,GUY,2022,567
Haiti,HTI,2022,5066
High-income countries,,2022,97111.38
Honduras,HND,2022,330111.3
India,IND,2022,340406.47
Indonesia,IDN,2022,774960.5
Jamaica,JAM,2022,7064.1
Kenya,KEN,2022,51900
Land Locked Developing Countries (FAO),,2022,1378898.5
Laos,LAO,2022,171000
Least Developed Countries (FAO),,2022,1901302.6
Liberia,LBR,2022,626.06
Low Income Food Deficit Countries (FAO),,2022,1936294.4
Low-income countries,,2022,1349933.9
Lower-middle-income countries,,2022,3619391
Madagascar,MDG,2022,50922.39
Malawi,MWI,2022,11000
Malaysia,MYS,2022,3849.58
Melanesia,OWID_MNS,2022,40830.97
Mexico,MEX,2022,188689.12
Middle Africa (FAO),,2022,415986.4
Mozambique,MOZ,2022,795.62
Myanmar,MMR,2022,8557
Nepal,NPL,2022,355
Net Food Importing Developing Countries (FAO),,2022,2869775.5
New Caledonia,NCL,2022,1.59
Nicaragua,NIC,2022,170180.53
Nigeria,NGA,2022,1809.56
North America,,2022,1090714.6
Northern America (FAO),,2022,3759
Oceania,,2022,40880.28
Oceania (FAO),,2022,40880.29
Panama,PAN,2022,13689
Papua New Guinea,PNG,2022,40800
Paraguay,PRY,2022,336.62
Peru,PER,2022,358177.7
Philippines,PHL,2022,29957
Polynesia,OWID_PYA,2022,49.31
Puerto Rico,PRI,2022,2740
Rwanda,RWA,2022,18945.39
Saint Vincent and the Grenadines,VCT,2022,185.52
Samoa,WSM,2022,11.82
Sao Tome and Principe,STP,2022,7.54
Sierra Leone,SLE,2022,2580
Small Island Developing States (FAO),,2022,95680.91
South America,,2022,4291660.5
South America (FAO),,2022,4291660.5
South-eastern Asia (FAO),,2022,2973098
Southern Asia (FAO),,2022,345589.47
Sri Lanka,LKA,2022,4828
Suriname,SUR,2022,5.58
Taiwan,TWN,2022,980
Tanzania,TZA,2022,66837
Thailand,THA,2022,18688.52
Togo,TGO,2022,25132
Tonga,TON,2022,15.09
Trinidad and Tobago,TTO,2022,732.76
Uganda,UGA,2022,338000
United States,USA,2022,3759
Upper-middle-income countries,,2022,5667472.5
Vanuatu,VUT,2022,15
Venezuela,VEN,2022,57177
Vietnam,VNM,2022,1953990.1
Western Africa (FAO),,2022,382508.9
Western Asia (FAO),,2022,36825.59
World,OWID_WRL,2022,10733909
Yemen,YEM,2022,36825.59
Zambia,ZMB,2022,8841.03
Zimbabwe,ZWE,2022,681
Africa,,2023,1913991.6
Africa (FAO),,2023,1913991.6
Americas (FAO),,2023,5662264.5
Angola,AGO,2023,20071
Asia,,2023,3442499
Asia (FAO),,2023,3442499
Belize,BLZ,2023,89.56
Benin,BEN,2023,55.09
Bolivia,BOL,2023,23579.45
Brazil,BRA,2023,3405267
Burundi,BDI,2023,9900
Cambodia,KHM,2023,364.83
Cameroon,CMR,2023,24266.35
Cape Verde,CPV,2023,17.17
Caribbean (FAO),,2023,45579.32
Central African Republic,CAF,2023,316108
Central America (FAO),,2023,1071939
China,CHN,2023,108000
China (FAO),,2023,109034.45
Colombia,COL,2023,680857.7
Comoros,COM,2023,143.76
Congo,COG,2023,3237.71
Cook Islands,COK,2023,0.37
Costa Rica,CRI,2023,78822
Cote d'Ivoire,CIV,2023,91326.79
Cuba,CUB,2023,6000
Democratic Republic of Congo,COD,2023,62216.86
Dominica,DMA,2023,361.16
Dominican Republic,DOM,2023,23446.25
East Timor,TLS,2023,9167.88
Eastern Africa (FAO),,2023,1162789.1
Eastern Asia (FAO),,2023,109034.45
Ecuador,ECU,2023,5584.19
El Salvador,SLV,2023,32326.39
Equatorial Guinea,GNQ,2023,4091.67
Ethiopia,ETH,2023,559400
Fiji,FJI,2023,14.25
French Polynesia,PYF,2023,21.91
Gabon,GAB,2023,103.9
Ghana,GHA,2023,736
Guatemala,GTM,2023,225327.3
Guinea,GIN,2023,200000
Guyana,GUY,2023,133
Haiti,HTI,2023,5046.87
High-income countries,,2023,98281.31
Honduras,HND,2023,384361.03
India,IND,2023,332848.3
Indonesia,IDN,2023,760192.2
Jamaica,JAM,2023,8152
Kenya,KEN,2023,48700
Land Locked Developing Countries (FAO),,2023,1518901.5
Laos,LAO,2023,177662.23
Least Developed Countries (FAO),,2023,1970313.5
Liberia,LBR,2023,625.27
Low Income Food Deficit Countries (FAO),,2023,1966083.1
Low-income countries,,2023,1477278.9
Lower-middle-income countries,,2023,3584911.2
Madagascar,MDG,2023,49343.51
Malawi,MWI,2023,11000
Malaysia,MYS,2023,5995.95
Melanesia,OWID_MNS,2023,45400.91
Mexico,MEX,2023,194916.12
Middle Africa (FAO),,2023,430103.06
Mozambique,MOZ,2023,794.86
Myanmar,MMR,2023,8417.22
Nepal,NPL,2023,394.4
Net Food Importing Developing Countries (FAO),,2023,2996755.5
New Caledonia,NCL,2023,1.25
Nicaragua,NIC,2023,143336.66
Nigeria,NGA,2023,1844.06
North America,,2023,1120639.4
Northern America (FAO),,2023,3121
Oceania,,2023,45450.01
Oceania (FAO),,2023,45450.01
Panama,PAN,2023,12760
Papua New Guinea,PNG,2023,45371.09
Paraguay,PRY,2023,267.33
Peru,PER,2023,369550.53
Philippines,PHL,2023,30023.39
Polynesia,OWID_PYA,2023,49.09
Puerto Rico,PRI,2023,1616.37
Rwanda,RWA,2023,27104.4
Saint Vincent and the Grenadines,VCT,2023,185.34
Samoa,WSM,2023,11.77
Sao Tome and Principe,STP,2023,7.57
Sierra Leone,SLE,2023,3600
Small Island Developing States (FAO),,2023,100593.91
South America,,2023,4541625.5
South America (FAO),,2023,4541625.5
South-eastern Asia (FAO),,2023,2965181
Southern Asia (FAO),,2023,337992.72
Sri Lanka,LKA,2023,4750
Suriname,SUR,2023,5.63
Taiwan,TWN,2023,1034.45
Tanzania,TZA,2023,62917
Thailand,THA,2023,16574.86
Togo,TGO,2023,22895.05
Tonga,TON,2023,15.05
Trinidad and Tobago,TTO,2023,771.33
Uganda,UGA,2023,384000
United States,USA,2023,3121
Upper-middle-income countries,,2023,5903734
Vanuatu,VUT,2023,14.32
Venezuela,VEN,2023,56380.58
Vietnam,VNM,2023,1956782.5
Western Africa (FAO),,2023,321099.44
Western Asia (FAO),,2023,30290.89
World,OWID_WRL,2023,11064205
Yemen,YEM,2023,30290.89
Zambia,ZMB,2023,8786.74
Zimbabwe,ZWE,2023,698.88
